identifier 1,abstract,abstract 2,collection,collection_identifier,date_range_end,date_qualifier,date_single/start,date_text,digital_origin,filename 1,filename 2,form,identifier 2,internet_media_type,item_type,language,language_of_cataloging,name 1,name_role 1,name 2,name_role 2,name 3,name_role 3,note,note_2,place_of_origin,repository,series_title,title2,title2_part,project_url,project,rights,subject_topical 1 1,subject_topical 1 2,subject_topical 2 1,subject_topical 2 2,subject_topical 3,subject_name 1,subject_name 2,subject_geographic,subject_geographic 2 1,subject_geographic 2 2,subject_geographic 3 1,subject_geographic 3 2,subject_geographic 4 1,subject_geographic 4 2,subject_geographic 5 1,subject_geographic 5 2,genre,title,title_intial_article
0012_003589_000234_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_13.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 13,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Automobiles | http://id.loc.gov/authorities/subjects/sh85010201,Automobiles | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Newfound Gap | Coordinates: 35.61121N, 83.42488W",Newfound Gap | DOTS,,,,,,,Souvenir postcard folders,Parking Grounds at Newfound Gap,
0012_003589_000235_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_14.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 14,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Ramsey Cascades | Coordinates: 35.7085N, 83.30003W",Ramsey Cascades | DOTS,,,,,,,Souvenir postcard folders,Ramsey Falls,
0012_003589_000236_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_15.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 15,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Rhododendrons | http://id.loc.gov/authorities/subjects/sh85113765,Rhododendrons | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders,Rhododendrons,
0012_003589_000237_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_16.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,"Thompson, Robin",Contributor | http://id.loc.gov/vocabulary/relators/ctb,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 16,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Waterfalls | http://id.loc.gov/authorities/subjects/sh85145720,Waterfalls | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Meigs Creek | Coordinates: 35.66953N, 83.67573W",Meigs Creek | DOTS,,,,,,,Souvenir postcard folders,Silvery Waterfalls near Elkmont,
0012_003589_000238_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_17.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 17,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Chimney Tops | Coordinates: 35.62999N, 83.47803W",Chimney Tops | DOTS,,,,,,,Souvenir postcard folders," Chimney Tops, Great Smoky Mountains National Park",The 
0012_003589_000239_0000,Image in a souvenir folder showing Newfound Gap Highway from above.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_18.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,This image is part of the Souvenir Folder Structure image.,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 18,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",Newfound Gap Road1,Newfound Gap Road/U.S. 44 | DOTS,U.S. 441,,,,,,Souvenir postcard folders, Loop-over,The 
0012_003589_000240_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_19.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 19,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Monuments | http://id.loc.gov/authorities/subjects/sh85087089,Monuments | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Tsali Recreation Area (N.C.) | URI: http://id.loc.gov/authorities/subjects/sh2005003416 | Coordinates: 35.40843N, 83.5885W",Tsali | DOTS,,,,,,,Souvenir postcard folders,"Tsali Memorial, Gatlinburg, Tenn., Entrance to Great Smoky Mountains National Park",
0012_003589_000241_0000,Image in a souvenir folder.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_20.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 20,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Automobiles | http://id.loc.gov/authorities/subjects/sh85010201,Automobiles | DOTS,Roads | http://id.loc.gov/authorities/subjects/sh85114487,Roads | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Chimney Tops | Coordinates: 35.62999N, 83.47803W",Chimney Tops | DOTS,,,,,,,Souvenir postcard folders,Tunnel and Chimney Tops,
0012_003589_000242_0000,Image in a souvenir folder showing two Cherokee women with their children.  This image forms part of the souvenir folder's cover.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_21.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 21,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,Eastern Band of Cherokee Indians | http://id.loc.gov/authorities/names/n50024398,Eastern Band of the Cherokee | DOTS,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders,Typical Indian Squaws,
0012_003589_000243_0000,Image in a souvenir folder showing a swinging bridge and cabin.,,"Bogart Family Great Smoky Mountains Postcard Collection, 1917-1946",MS.3709,1955,inferred,1910,Undated,reformatted digital,gsmrc-post_33_22.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Standard News Agency (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Creation date inferred from archival collection dates.,This image is part of the Souvenir Folder Structure image.,Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786,"University of Tennessee, Knoxville. Special Collections",Souvenir of Great Smoky Mountains National Park,Souvenir of Great Smoky Mountains National Park,Postcard 22,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Swing bridges | http://id.loc.gov/authorities/subjects/sh2007003771,Swinging bridges | DOTS,Log cabins | http://id.loc.gov/authorities/subjects/sh85078077,Cabins | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders,Typical Mountain Home in Great Smoky Mountains National Park,
0012_003589_000277_0001,"Postcard with handwritten note sent from Maryville, TN to Miss Neva Brown, Knoxville on July 3, 1912 for a postage of 1 cent.",,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,,,1912-07-03,1912-07-03,reformatted digital,gsmrc-post_34_01.jp2,gsmrc-post_34_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000277_0002,image/jp2,still image,eng,eng,"Chas. C. Cullen & Company (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Landscapes | http://id.loc.gov/authorities/subjects/sh85074392,Scenery and landscapes | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,,In The Appalachian Range,
0012_003589_000278_0001,"Postcard with handwritten note sent from Townsend, TN to Miss Alice Mikels, Shooks, Tennessee for a postage of 1 cent.",,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,,approximate,1912,Circa 1912,reformatted digital,gsmrc-post_35_01.jp2,gsmrc-post_35_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000278_0002,image/jp2,still image,eng,eng,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Elkmont (Tenn.)--Structures,,Railroads | http://id.loc.gov/authorities/subjects/sh85110904,Railroads | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,,"In the heart of the Smokies.  Elkmont, Tenn.  Altitude 2,428 ft.",
0012_003589_000279_0001,"Postcard with handwritten note sent on February 28, 1912 from Townsend, TN to Miss Kate Mikels, Shooks, Tennessee for a postage of 1 cent.",,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,,,1912-02-28,1912-02-28,reformatted digital,gsmrc-post_36_01.jp2,gsmrc-post_36_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000279_0002,image/jp2,still image,eng,eng,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Railroads | http://id.loc.gov/authorities/subjects/sh85110904,Railroads | DOTS,,,,Little River Lumber Company,Little River Lumber Company | DOTS,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,,"Loading Logs near Elkmont, Little River Lumber Co.",
0012_003589_000280_0001,"Postcard with handwritten note mailed on January 20, 1909 to Mr. A.J. Williamson, Greenback, Tennessee for a postage of 1 cent.",,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,,,1909-01-20,1909-01-20,reformatted digital,gsmrc-post_37_01.jp2,gsmrc-post_37_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000280_0002,image/jp2,still image,eng,eng,"J. N. Badgett Company (Maryville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,Maryville (Tenn.) | http://id.loc.gov/authorities/names/n79022085,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Log cabins | http://id.loc.gov/authorities/subjects/sh85078077,Cabins | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Little Greenbrier | Coordinates: 35.69148N, 83.63739W",Little Greenbrier | DOTS,,,,,,,,"On the Little Greenbrier, in Great Smoky Mountains",
0012_003589_000281_0001,"Postcard with handwritten note sent from Maryville, TN to Miss Neva Brown, Knoxville on September 24, 1912 for a postage of 1 cent.",,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,,,1912-09-24,1912-09-24,reformatted digital,gsmrc-post_38_01.jp2,gsmrc-post_38_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000281_0002,image/jp2,still image,eng,eng,"Chas. C. Cullen & Company (Knoxville, Tenn.)",Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Little River (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh91003381 | Coordinates: 35.65304N, 83.56978W",Little River | DOTS,,,,,,,," Smokey Mountains, Little River",The 
0012_003589_000282_0001,"Postcard sent from Knoxville to Miss Margaruite Truan, Fountain City, Tenn. in approximately 1910 for a postage of 1 cent.",,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,,approximate,1910,Circa 1910,reformatted digital,gsmrc-post_39_01.jp2,gsmrc-post_39_02.jp2,postcards | http://vocab.getty.edu/aat/300026816,0012_003589_000282_0002,image/jp2,still image,eng,eng,S. H. Kress & Company,Creator | http://id.loc.gov/vocabulary/relators/cre,unknown,Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,"University of Tennessee, Knoxville. Special Collections",,,,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Log cabins | http://id.loc.gov/authorities/subjects/sh85078077,Cabins | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,," Typical Cabin, near Knoxville, Tenn.",A 
0012_003589_000251_0000,Front cover of a souvenir folder filled with postcard size images that fold out in accordion style. Front  cover shows Gatlinburg as seen from a trail above the town.,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1959,approximate,1950,Circa 1950s,reformatted digital,gsmrc-post_40_01.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,,,"University of Tennessee, Knoxville. Special Collections",Souvenir Folder of Gatlinburg Tenn.,Souvenir Folder of Gatlinburg Tenn.,Postcard 1,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Gatlinburg (Tenn.) | URI: http://id.loc.gov/authorities/names/n80040520 | Gatlinburg | Coordinates: 35.71453N, 83.51189W",,,,,,,,Souvenir postcard folders,Souvenir Folder of Gatlinburg Tenn.,
0012_003589_000252_0000,Back cover of a souvenir folder showing parts of five images that are included inside. The back cover is made of two parts and unfolds like an envelope.,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1959,approximate,1950,Circa 1950s,reformatted digital,gsmrc-post_40_02.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,,,"University of Tennessee, Knoxville. Special Collections",Souvenir Folder of Gatlinburg Tenn.,Souvenir Folder of Gatlinburg Tenn.,Postcard 2,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Rhododendrons | http://id.loc.gov/authorities/subjects/sh85113765,Rhododendrons | DOTS,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Clingmans Dome Road | Coordinates: 35.56529N, 83.49296W",Clingmans Dome Road | DOTS,,,,,,,Souvenir postcard folders,Greetings from Great Smoky Mts. National Park,
0012_003589_000253_0000,Inside text for a souvenir folder describing Gatlinburg and the Great Smoky Mountains National Park.,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1959,approximate,1950,Circa 1950s,reformatted digital,gsmrc-post_40_03.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,,,"University of Tennessee, Knoxville. Special Collections",Souvenir Folder of Gatlinburg Tenn.,Souvenir Folder of Gatlinburg Tenn.,Postcard 3,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Tourism--Tennessee--Gatlinburg,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders,"Gatlinburg, Tennessee",
0012_003589_000254_0000,Image in a souvenir folder.,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1959,approximate,1950,Circa 1950s,reformatted digital,gsmrc-post_40_04.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,,,"University of Tennessee, Knoxville. Special Collections",Souvenir Folder of Gatlinburg Tenn.,Souvenir Folder of Gatlinburg Tenn.,Postcard 4,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","LeConte, Mount (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh86006260 | Coordinates: 35.65426N, 83.43683W",Mount Le Conte | DOTS,"Gatlinburg (Tenn.) | URI: http://id.loc.gov/authorities/names/n80040520 | Gatlinburg | Coordinates: 35.71453N, 83.51189W",,,,,,Souvenir postcard folders,"Gatlinburg, Overlooking Mt. LeConte in Background",
0012_003589_000255_0000,Image in a souvenir folder.,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1959,approximate,1950,Circa 1950s,reformatted digital,gsmrc-post_40_05.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,,,"University of Tennessee, Knoxville. Special Collections",Souvenir Folder of Gatlinburg Tenn.,Souvenir Folder of Gatlinburg Tenn.,Postcard 5,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,Pi Beta Phi Settlement School,Pi Beta Phi Settlement School buildings | DOTS,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders,"Pi Beta Phi School,",
0012_003589_000256_0000,Image in a souvenir folder.,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1959,approximate,1950,Circa 1950s,reformatted digital,gsmrc-post_40_06.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,,,"University of Tennessee, Knoxville. Special Collections",Souvenir Folder of Gatlinburg Tenn.,Souvenir Folder of Gatlinburg Tenn.,Postcard 6,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W","Gatlinburg (Tenn.) | URI: http://id.loc.gov/authorities/names/n80040520 | Gatlinburg | Coordinates: 35.71453N, 83.51189W",,,,,,,,Souvenir postcard folders,Municipal Auditorium,
0012_003589_000257_0000,Image in a souvenir folder.,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1959,approximate,1950,Circa 1950s,reformatted digital,gsmrc-post_40_07.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,,,"University of Tennessee, Knoxville. Special Collections",Souvenir Folder of Gatlinburg Tenn.,Souvenir Folder of Gatlinburg Tenn.,Postcard 7,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Hotels | http://id.loc.gov/authorities/subjects/sh85062487,Hotels | DOTS,Businesses--Gatlinburg,Businesses -- Gatlinburg | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders,Mountain View Hotel.,
0012_003589_000258_0000,Image in a souvenir folder.,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1959,approximate,1950,Circa 1950s,reformatted digital,gsmrc-post_40_08.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,W.M. Cline Company | URI: http://id.loc.gov/authorities/names/no2007054318,Contributor | http://id.loc.gov/vocabulary/relators/ctb,,,,"University of Tennessee, Knoxville. Special Collections",Souvenir Folder of Gatlinburg Tenn.,Souvenir Folder of Gatlinburg Tenn.,Postcard 8,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,,,,,,Great Smoky Mountains National Park Headquarters,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders,Park Headquarters and Administration Building,
0012_003589_000259_0000,Image in a souvenir folder.,,"Great Smoky Mountains Postcard Collection, 1910-1955",MS.3745,1959,approximate,1950,Circa 1950s,reformatted digital,gsmrc-post_40_09.jp2,,postcards | http://vocab.getty.edu/aat/300026816,,image/jp2,still image,eng,eng,"Asheville Post Card Company (Asheville, N.C.)",Creator | http://id.loc.gov/vocabulary/relators/cre,,,,,,,,"University of Tennessee, Knoxville. Special Collections",Souvenir Folder of Gatlinburg Tenn.,Souvenir Folder of Gatlinburg Tenn.,Postcard 9,http://digital.lib.utk.edu/smokiespostcards,Great Smoky Mountains Postcards,Public domain.,Hotels | http://id.loc.gov/authorities/subjects/sh85062487,Hotels | DOTS,Tourism--Gatlinburg,Tourism -- Gatlinburg | DOTS,,,,"Great Smoky Mountains (N.C. and Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85057008 | Coordinates: 35.58343N, 83.50822W",,,,,,,,,Souvenir postcard folders,Hotel Greystone and Patio Rooms,
